medReqID,medID,equipType,nodeID,employeeID,isEmergency,status,createdTimestamp,updatedTimestamp
1,BED001,BED,FDEPT00101,1,0,2,2022-04-10 22:34:06.465,2022-04-10 22:34:06.465
2,BED002,BED,wPATI0013,2,0,1,2022-04-10 22:34:06.465,2022-04-11 22:24:49.591
3,INP001,INP,wPATI0013,2,1,1,2022-04-10 22:34:06.465,2022-04-10 22:34:06.465
4,INP002,INP,wPATI0013,1,1,3,2022-04-10 22:34:06.465,2022-04-10 22:34:06.465
5,XRY001,XRY,wPATI0013,2,1,1,2022-04-10 22:34:06.465,2022-04-10 22:34:06.465
6,REC001,REC,wPATI0023,3,0,1,2022-04-10 22:34:06.465,2022-04-11 22:24:49.621
7,BED003,BED,wPATI0023,1,0,1,2022-04-10 22:34:06.465,2022-04-11 22:24:49.633
8,BED004,BED,wPATI0023,1,0,1,2022-04-10 22:34:06.465,2022-04-10 22:34:06.465
9,REC004,REC,wPATI0023,1,0,2,2022-04-10 22:34:06.465,2022-04-10 22:34:06.465
10,REC006,REC,wPATI0023,1,0,2,2022-04-10 22:34:06.465,2022-04-10 22:34:06.465
