medID,type,nodeID,status
NONE, XRY, wSTOR001L1, 1
BED001, BED, wSTOR0013, 1
BED002, BED, wSTOR0013, 1
BED003, BED, wSTOR0013, 0
BED004, BED, wSTOR0013, 1
BED005, BED, wSTOR0013, 0
BED006, BED, wSTOR0013, 0
BED007, BED, wSTOR0013, 0
BED008, BED, wSTOR0013, 0
BED009, BED, wSTOR0013, 0
BED010, BED, wSTOR0013, 0
BED011, BED, wSTOR0023, 0
BED012, BED, wSTOR0023, 0
BED013, BED, wSTOR0023, 0
BED014, BED, wSTOR0023, 0
BED015, BED, wSTOR0023, 0
BED016, BED, wSTOR0023, 0
BED017, BED, wSTOR0023, 0
BED018, BED, wSTOR0023, 0
BED019, BED, wSTOR0023, 0
BED020, BED, wSTOR0023, 0
XRY001, XRY, wSTOR001L1, 0
INP001, INP, wSTOR0013, 1
INP002, INP, wSTOR0013, 0
INP003, INP, wSTOR0013, 0
INP004, INP, wSTOR0013, 0
INP005, INP, wSTOR0013, 0
INP006, INP, wSTOR0013, 0
INP007, INP, wSTOR0013, 0
INP008, INP, wSTOR0013, 0
INP009, INP, wSTOR0013, 0
INP010, INP, wSTOR0013, 0
INP011, INP, wSTOR0013, 0
INP012, INP, wSTOR0013, 0
INP013, INP, wSTOR0013, 0
INP014, INP, wSTOR0013, 0
INP015, INP, wSTOR0013, 0
INP016, INP, wSTOR0023, 0
INP017, INP, wSTOR0023, 0
INP018, INP, wSTOR0023, 0
INP019, INP, wSTOR0023, 0
INP020, INP, wSTOR0023, 0
INP021, INP, wSTOR0023, 0
INP022, INP, wSTOR0023, 0
INP023, INP, wSTOR0023, 0
INP024, INP, wSTOR0023, 0
INP025, INP, wSTOR0023, 0
INP026, INP, wSTOR0023, 0
INP027, INP, wSTOR0023, 0
INP028, INP, wSTOR0023, 0
INP029, INP, wSTOR0023, 0
INP030, INP, wSTOR0023, 0
REC001, REC, wSTOR0013, 1
REC002, REC, wSTOR0013, 0
REC003, REC, wSTOR0013, 0
REC004, REC, wSTOR0023, 0
REC005, REC, wSTOR0023, 0
REC006, REC, wSTOR0023, 0
