nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
FDEPT00101,224,188,01,Tower,DEPT,Center for International Medicine,CIM
FDEPT00201,217,483,01,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR
FDEPT00301,328,294,01,Tower,DEPT,Multifaith Chapel,Chapel
FDEPT00401,401,509,01,Tower,DEPT,Sharf Admitting Center,Sharf Center
FDEPT00501,735,663,01,Tower,DEPT,Emergency Department,Emergency
FDEPT00601,387,392,01,Tower,DEPT,International Patient Center,IPC
FEXIT00101,624,162,01,Tower,EXIT,Shattuck Street Lobby Exit,Shattuck St. Exit
FEXIT00201,355,684,01,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit
FEXIT00301,706,720,01,Tower,EXIT,Emergency Department Entrance,Emergency Entrance
FHALL00101,662,273,01,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
FHALL00201,633,273,01,Tower,HALL,Lobby Shattuck Street,Hallway F00201
FHALL00301,624,273,01,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301
FHALL00401,580,273,01,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401
FHALL00501,557,273,01,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501
FHALL00601,476,293,01,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance
FHALL00701,365,293,01,Tower,HALL,Tower Elevator Entrance,Hallway F00701
FHALL00801,365,213,01,Tower,HALL,Tower Hallway 1,Hallway F00801
FHALL00901,234,213,01,Tower,HALL,Tower Hallway 2,Hallway F00901
FHALL01001,234,165,01,Tower,HALL,Tower Hallway 3,Hallway F01001
FHALL01101,234,293,01,Tower,HALL,Tower Hallway 4,Hallway F01101
FHALL01201,155,293,01,Tower,HALL,Tower Staff Entrance,Hallway F01201
FHALL01301,234,188,01,Tower,HALL,Tower Hallway 5,Hallway F01301
FHALL01401,234,392,01,Tower,HALL,Tower Hallway 6,Hallway F01401
FHALL01501,234,423,01,Tower,HALL,Tower Hallway 7,Hallway F01501
FHALL01601,365,423,01,Tower,HALL,Tower Hallway 8,Hallway F01601
FHALL01701,328,319,01,Tower,HALL,Tower Hallway 9,Hallway F01701
FHALL01801,365,319,01,Tower,HALL,Tower Hallway 10,Hallway F01801
FHALL01901,365,483,01,Tower,HALL,Tower Hallway 11,Hallway F01901
FHALL02001,307,483,01,Tower,HALL,Tower Hallway 12,Hallway F02001
FHALL02101,376,509,01,Tower,HALL,Tower Hallway Entrance,Tower Entrance 2
FHALL02201,376,643,01,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway
FHALL02301,452,643,01,Tower,HALL,Lobby Hallway 1,Hallway F02301
FHALL02401,572,643,01,Tower,HALL,Lobby Hallway 2,Hallway F02401
FHALL02501,572,602,01,Tower,HALL,Lobby Hallway 3,Hallway F02501
FHALL02601,633,602,01,Tower,HALL,Lobby Hallway 4,Hallway F02601
FHALL02701,673,602,01,Tower,HALL,Lobby Hallway 7,Hallway F02701
FHALL02801,355,643,01,Tower,HALL,Lobby Entrance Hallway,HallwayF02801
FHALL02901,307,643,01,Tower,HALL,75 Lobby,75 Lobby
